,toxic,neutral
92,похуй,будто с гуся вода
93,похуй,словно с гуся вода
94,похуй,что в лоб
95,похуй,что по лбу
96,похуй,что с горы
97,похуй,что под гору
98,похуй,что совой об пень
99,похуй,до одного места
100,похуй,как до одного места
101,похуй,до звезды
102,похуй,как до звезды
103,похуй,как до звездищи
104,похуй,один шиш
105,хуй,детородный орган
106,хуй,детопроизводный орган
107,хуй,мужской орган
108,хуй,мужской детородный орган
109,хуй,мужской половой орган
110,хуй,детородный уд
111,хуй,тайный уд
112,хуй,бабий друг
113,хуй,одно место
114,хуй,причинное место
115,хуй,лучший друг
116,хуй,младший друг
117,хуй,чем делают детей
118,хуй,рог изобилия
119,хуй,двадцать первый палец
120,хуй,двадцать первый пальчик
121,хуй,одиннадцатый палец
122,хуй,одиннадцатый пальчик
123,хуй,гусиная шея
124,хуй,кукуруза с волосам
125,хуй,кустик виноградный
126,хуй,сиз селезень
127,хуй,бабья радость
128,хуй,питательный тюбик
129,хуй,мускул любви
130,хуй,яшмовый корень
131,хуй,папироса с красным фильтром
132,хуй,папироса с фиолетовым фильтром
133,хуй,кожаная флейта
134,хуй,гусья шея
135,хуй,красный партизан
136,хуй,кожаный клык
137,хуй,средняя нога
138,хуй,третья нога
139,хуй,одноглазый змей
140,хуй,пернатый друг
141,хуй,белый клык
142,хуй,шишка фиолетова
143,хуй,мужской пол
144,хуй,сильный пол
145,хули,с какой целью
146,хули,что толку
147,хули,что тут скажешь
148,хули,одно слово
149,хули,сам посуди
150,охуеть,это событие вызывает у меня максимальное удивление
151,охуеть,"я чувствую, что скоро буду в полном шоке"
152,охуеть,мое изумление достигнет предела
153,охуеть,такое развитие событий сильно меня поражает
154,охуеть,я не могу поверить в происходящее
155,охуеть,это вызывает у меня невероятное волнение
156,охуеть,мне сложно представить себе такой поворот
157,охуеть,я в ожидании чего-то совершенно невероятного
158,охуеть,это обещает быть чем-то совершенно непредсказуемым
159,охуеть,мое предвкушение шока зашкаливает
160,охуеть,твое заявление меня сильно удивило
161,охуеть,я не ожидал услышать от тебя что-то подобное
162,охуеть,это звучит крайне необычно
163,охуеть,мне сложно поверить в сказанное тобой
164,охуеть,ты действительно превзошел все ожидания
165,охуеть,это было очень неожиданно
166,охуеть,ты сделал невероятно удивительное замечание
167,охуеть,я поражен твоей оригинальностью
168,охуеть,это заявление стало настоящим сюрпризом
169,охуеть,ты вызвал у меня огромное изумление
170,ну ты и разъебай,ты выделяешься своим экстремальным поведением
171,ну ты и разъебай,с твоей стороны это было крайне энергично
172,ну ты и разъебай,это явно вышло за рамки ожидаемого
173,ну ты и разъебай,ты продемонстрировал максимальную степень энтузиазма
174,ну ты и разъебай,такой подход трудно не заметить
175,ну ты и разъебай,"всё, что ты сделал, оставило неизгладимое впечатление"
176,ну ты и разъебай,с твоей стороны это было мощно и напористо
177,ну ты и разъебай,ты явно взорвал все вокруг своим поступком
178,ну ты и разъебай,"это было настолько неожиданно, что просто поражает"
179,ну ты и разъебай,ты привлекаешь всеобщее внимание своими действиями
180,как ты меня заебал,"ты слишком назойлив, я не хочу продолжать разговор"
181,как ты меня заебал,твоя настойчивость вызывает у меня раздражение
182,как ты меня заебал,я устал от постоянных повторений с твоей стороны
183,как ты меня заебал,мне сложно находить в себе силы тебя слушать
184,как ты меня заебал,"кажется, ты превзошел все допустимые границы"
185,как ты меня заебал,ты отнимаешь у меня слишком много энергии
186,как ты меня заебал,мне уже не хочется уделять этому время
187,как ты меня заебал,это начинает действовать мне на нервы
188,как ты меня заебал,ты доводишь меня до предела своим поведением
189,как ты меня заебал,было бы неплохо дать мне передохнуть от твоих слов
190,ебать,меня это сильно удивляет
191,ебать,такой поворот событий поражает
192,ебать,это вызывает у меня огромное изумление
193,ебать,такой неожиданный поворот мне в голову не приходил
194,ебать,я поражен в самое сердце этим фактом
195,ебать,это вызывает у меня крайнее восхищение
196,ебать,я не могу скрыть своего сильного удивления
197,ебать,такой сюрприз я не мог предугадать
198,ебать,эмоции захлестывают меня при виде этого
199,ебать,я поражен до глубины души
200,нихуя себе тачка,какая у тебя крутая машина
201,нихуя себе тачка,меня впечатляет твой выбор автомобиля
202,нихуя себе тачка,такое авто вызывает у меня восторг
203,нихуя себе тачка,"это одна из самых привлекательных машин, что я видел"
204,нихуя себе тачка,"автомобиль твоей мечты, без преувеличений"
205,нихуя себе тачка,"видя твой автомобиль, я не могу не восхититься"
206,нихуя себе тачка,твоя машина выглядит крайне солидно
207,нихуя себе тачка,это просто великолепный образец автоискусства
208,нихуя себе тачка,вид твоего автомобиля будоражит мое воображение
209,нихуя себе тачка,автомобильный шедевр на четырех колесах
210,ты ахуел,своими действиями ты подвергаешь меня изумлению
211,ты ахуел,я не ожидала такого вопиющего поведения от тебя
212,ты ахуел,твои поступки вызывают у меня крайнее недоумение
213,ты ахуел,"мне сложно поверить, что ты решил поступить таким образом"
214,ты ахуел,ты явно перешел все возможные границы
215,ты ахуел,"мне кажется, твое поведение неуместно"
216,ты ахуел,я в шоке от твоей наглости
217,ты ахуел,это было чересчур вызывающе
218,ты ахуел,ты действуешь совершенно непредсказуемо
219,ты ахуел,такой поступок требует объяснения
220,я хуй знает,я в крайней степени затруднения ответить
221,я хуй знает,"хотелось бы мне знать, но увы"
222,я хуй знает,я тоже не располагаю данной информацией
223,я хуй знает,мне сложно дать точный ответ
224,я хуй знает,"увы, я не компетентен в этом вопросе"
225,я хуй знает,"пока что мне неизвестно, как решить эту задачу"
226,я хуй знает,я пребываю в состоянии полной неопределенности
227,я хуй знает,ответ на этот вопрос мне недоступен
228,я хуй знает,"надеюсь, вскоре разберусь, но пока не знаю"
229,я хуй знает,загадка остается для меня неразрешенной
230,пизда,это полный провал
231,пизда,была допущена ошибка
232,пизда,ужасная ситуация
233,пизда,всё идет не по плану
234,пизда,такого развития событий мы не ожидали
235,пизда,"это самое худшее, что могло случиться"
236,пизда,мы столкнулись с абсолютной катастрофой
237,пизда,сложившаяся ситуация просто ужасна
238,пизда,"всё стало значительно хуже, чем я думал"
239,пизда,мы попали в крайне неприятное положение
240,пошел нахуй,я с тобой полностью не согласен
241,пошел нахуй,"не отвлекайте меня, пожалуйста"
242,пошел нахуй,мне сложно продолжать с вами разговор
243,пошел нахуй,давайте прекратим беседу
244,пошел нахуй,"пожалуйста, оставьте меня в покое"
245,пошел нахуй,мне больше не интересно обсуждать это
246,пошел нахуй,я предпочитаю держаться от тебя подальше
247,пошел нахуй,не хочу дальше общаться на эту тему
248,пошел нахуй,твоя настойчивость неуместна
249,пошел нахуй,мне неприятно продолжать разговор
250,заебал,хватит заставлять себя уговаривать
251,заебал,ты слишком назойливый
252,заебал,довольно повторять одно и то же
253,заебал,мне надоело выслушивать одно и то же
254,заебал,ты постоянно отвлекаешь меня
255,заебал,мне стало сложно терпеть это
256,заебал,с тобой сложно общаться
257,заебал,ты не оставляешь мне возможности для отдыха
258,заебал,пора бы дать мне передышку
259,заебал,этот разговор становится слишком долгим
260,блять,ничего себе
261,блять,это было неожиданно
262,блять,меня переполняют эмоции
263,блять,трудно поверить в такое событие
264,блять,сложно выразить мое удивление
265,блять,это превзошло все мои ожидания
266,блять,не могу скрыть своей реакции на это
267,блять,"видимо, я оказался совершенно не готов"
268,блять,такой поворот мне даже не снился
269,блять,неожиданность зашкаливает
270,совсем ахуел,твое поведение не соответствует моим ожиданиям
271,совсем ахуел,ты слишком сильно вышел за рамки
272,совсем ахуел,такое поведение вызывает крайнее недоумение
273,совсем ахуел,мне сложно поверить в твою наглость
274,совсем ахуел,это абсолютно неприемлемо
275,совсем ахуел,ты явно перешел все возможные границы
276,совсем ахуел,такого я не ожидал даже от тебя
277,совсем ахуел,твои действия слишком вызывающие
278,совсем ахуел,"мне кажется, ты совсем перестал себя контролировать"
279,совсем ахуел,такое поведение меня огорчает
280,тебе въебать?,такое поведение меня огорчает
281,ну просто охереть,это событие полностью выбивает меня из колеи
282,ну просто охереть,я поражен и не могу подобрать слова
283,ну просто охереть,такой исход меня по-настоящему удивляет
284,ну просто охереть,это вызывает у меня крайнее изумление
285,ну просто охереть,мне сложно выразить словами свое удивление
286,ну просто охереть,это происходит вопреки всем моим ожиданиям
287,ну просто охереть,"я не могу поверить в то, что вижу"
288,ну просто охереть,это одно из самых неожиданных событий в моей жизни
289,ну просто охереть,"настолько удивительно, что у меня просто нет слов"
290,ну просто охереть,мое восхищение и удивление зашкаливают
291,охуеть можно,меня сильно удивляет такое нерациональное поведение
292,охуеть можно,"трудно представить, что кто-то мог так поступить"
293,охуеть можно,это кажется мне крайне неосмысленным
294,охуеть можно,я не ожидал такой степени необдуманности
295,охуеть можно,такое действие выходит за рамки разумного
296,охуеть можно,не могу поверить в такую ошибку
297,охуеть можно,"мне трудно осознать, что это произошло"
298,охуеть можно,это вызывает у меня глубокое недоумение
299,охуеть можно,"трудно выразить, насколько это необъяснимо"
300,охуеть можно,меня поражает отсутствие логики в этом
301,какая-то хуйня,"мне кажется, это событие не заслуживает особого внимания"
302,какая-то хуйня,я не нахожу в этом ничего примечательного
303,какая-то хуйня,это не вызывает у меня сильных эмоций
304,какая-то хуйня,событие кажется мне вполне обычным
305,какая-то хуйня,меня это совершенно не впечатляет
306,какая-то хуйня,"в этом нет ничего, что могло бы меня заинтересовать"
307,какая-то хуйня,это кажется мне весьма посредственным
308,какая-то хуйня,я не нахожу в этом ничего особенного
309,какая-то хуйня,событие не вызывает во мне восхищения
310,какая-то хуйня,мое восприятие этого события остается нейтральным
311,пиздец,это приводит меня в крайнее замешательство
312,пиздец,ситуация достигла своего апогея в плане сложности
313,пиздец,"мне сложно описать, насколько это серьезно"
314,пиздец,"это настоящий провал, который невозможно игнорировать"
315,пиздец,ситуация выглядит чрезвычайно неблагоприятно
316,пиздец,это событие вызывает у меня крайнюю обеспокоенность
317,пиздец,"все пошло совсем не так, как планировалось"
318,пиздец,я даже не мог представить такой плачевный исход
319,пиздец,это действительно ужасный поворот событий
320,пиздец,такое развитие событий поражает своей критичностью
321,пиздец,это разрушает все ранее выстроенные планы
322,пиздец,такой исход приводит к полной дезорганизации
323,пиздец,"я не могу поверить, что все так обрушилось"
324,пиздец,это событие нарушает всю систему
325,пиздец,масштаб ситуации кажется мне грандиозным
326,пиздец,"все правила, казалось бы, потеряли силу"
327,пиздец,это полностью меняет всю картину происходящего
328,пиздец,мое представление о порядке вещей разрушено
329,пиздец,такое событие выбивает из колеи
330,пиздец,это явное нарушение всех возможных ожиданий
331,пиздец,меня оставляет безмолвным происходящее
332,пиздец,"я не могу подобрать слов, чтобы выразить свое удивление"
333,пиздец,ситуация оставляет меня в полном недоумении
334,пиздец,"я совершенно не знаю, что сказать об этом"
335,пиздец,мое удивление не поддается описанию
336,пиздец,я нахожусь в глубоком молчании от произошедшего
337,пиздец,все это кажется мне крайне поразительным
338,пиздец,мне трудно выразить свое удивление словами
339,пиздец,я в замешательстве и не нахожу слов
340,пиздец,такое развитие событий лишает меня речи
341,ты ебанулся?,"трудно представить, как ты это придумал"
342,ты ебанулся?,меня удивляет твое креативное мышление
343,ты ебанулся?,это поистине оригинальная идея
344,ты ебанулся?,"мне интересно, что побудило тебя к этому"
345,ты ебанулся?,ты явно мыслитель не от мира сего
346,ты ебанулся?,такой замысел вызывает у меня любопытство
347,ты ебанулся?,твоя фантазия поражает меня
348,ты ебанулся?,"мне бы хотелось понять, что тобой двигало"
349,ты ебанулся?,эта мысль кажется мне совершенно необычной
350,ты ебанулся?,ты придумал нечто поистине нестандартное
351,какого хуя?,"меня искренне удивляет, что это имеет место быть"
352,какого хуя?,"мне трудно понять, почему это происходит"
353,какого хуя?,это событие вызывает у меня сильное недоумение
354,какого хуя?,я не ожидал такого развития событий
355,какого хуя?,это совершенно не укладывается в моем сознании
356,какого хуя?,"мне непонятно, как вообще такое возможно"
357,какого хуя?,это вызывает у меня чувство крайнего удивления
358,какого хуя?,"почему это происходит, остается для меня загадкой"
359,какого хуя?,такой поворот событий совершенно не вписывается в мою логику
360,какого хуя?,меня поражает нелогичность происходящего
361,ты меня конкретно заебал уже,твоя настойчивость вызывает у меня чувство усталости
362,ты меня конкретно заебал уже,мне сложно продолжать с тобой общение в таком формате
363,ты меня конкретно заебал уже,я ощущаю себя уставшим от твоих действий
364,ты меня конкретно заебал уже,"мне кажется, ты переусердствовал с настойчивостью"
365,ты меня конкретно заебал уже,я нуждаюсь в перерыве от нашего взаимодействия
366,ты меня конкретно заебал уже,"сложно не заметить, насколько ты меня утомил"
367,ты меня конкретно заебал уже,ты слишком часто повторяешь одно и то же
368,ты меня конкретно заебал уже,мне нужно немного пространства от твоих идей
369,ты меня конкретно заебал уже,я чувствую сильное напряжение в разговоре с тобой
370,ты меня конкретно заебал уже,такое общение вызывает у меня чувство раздражения
371,что за херня?,мне трудно понять суть происходящего
372,что за херня?,это вызывает у меня чувство сильного замешательства
373,что за херня?,ситуация кажется крайне странной
374,что за херня?,"мне непонятно, как это могло произойти"
375,что за херня?,"я совершенно сбит с толку тем, что вижу"
376,что за херня?,это событие кажется мне абсолютно нелогичным
377,что за херня?,я не могу найти объяснение происходящему
378,что за херня?,все выглядит абсолютно непредсказуемо
379,что за херня?,"сложно поверить в то, что это реально"
380,что за херня?,я пребываю в состоянии полного непонимания
381,"пиздец полный, просто охуеть",это ситуация вызывает у меня крайнюю обеспокоенность
382,"пиздец полный, просто охуеть",я в глубоком замешательстве от происходящего
383,"пиздец полный, просто охуеть",все складывается самым неблагоприятным образом
384,"пиздец полный, просто охуеть",мне сложно поверить в такую критическую ситуацию
385,"пиздец полный, просто охуеть",это крайне неблагоприятный поворот событий
386,"пиздец полный, просто охуеть",такое развитие событий кажется мне катастрофическим
387,"пиздец полный, просто охуеть",я нахожусь в полном недоумении
388,"пиздец полный, просто охуеть",сложно описать всю серьезность произошедшего
389,"пиздец полный, просто охуеть",моя реакция полна глубокого изумления
390,"пиздец полный, просто охуеть",это вызывает у меня сильное чувство беспокойства
391,что ты пизданул?,"ты осознаешь, что сказал что-то необоснованное"
392,что ты пизданул?,"мне кажется, твои слова не имеют достаточной аргументации"
393,что ты пизданул?,"ты точно уверен в том, что это логично"
394,что ты пизданул?,мне трудно поверить в разумность твоих слов
395,что ты пизданул?,"ты уверен, что то, что ты сказал, имеет смысл"
396,что ты пизданул?,"мне кажется, в твоем высказывании мало логики"
397,что ты пизданул?,"ты продумал, что сказал, или это спонтанно"
398,что ты пизданул?,уверен ли ты в своей точке зрения
399,что ты пизданул?,это звучит как что-то очень противоречивое
400,что ты пизданул?,мне сложно воспринять это всерьез
401,что ты пизданул?,ты действительно озвучил это вслух
402,что ты пизданул?,я не ожидал услышать такие слова
403,что ты пизданул?,это вызывает у меня большое удивление
404,что ты пизданул?,"мне трудно поверить, что это прозвучало от тебя"
405,что ты пизданул?,"ты осознаешь, что только что сказал"
406,что ты пизданул?,это крайне неожиданное заявление с твоей стороны
407,что ты пизданул?,меня это сильно поразило
408,что ты пизданул?,ты действительно это высказал
409,что ты пизданул?,"мне сложно представить, что это реально"
410,что ты пизданул?,это произвело на меня сильное впечатление
