,toxic,neutral
32,"а потом он будет кричать,, как же хорошо быть пидором.","а потом он будет кричать, как же хорошо быть не таким как все"
33,Он как-то раз подошел в двум здоровым чуркам,Он как-то раз подошел в двум здоровым людям не русской национальности
34,"вообще,по жизни не завидуй.изнутри сжигает.вот какого хрена ты сейчас высралась?тебе чего то не хватает?","Вообще, по жизни не завидуй - это сжигает изнутри. Вот, почему ты сейчас это сделала? Чего тебе не хватает?"
35,уберут усатого пизда белорусии.опять поедут на заработки,"Если уберут президента Белорусии, то снова придется ездить на заработки"
36,уберут усатого пизда белорусии.опять поедут на заработки,"Уберут усатого и плохо будет Белоруссии, опять поедут на зароботки"
37,"бля,я хоть и с донбасса. но вижу,что у власти гандоны!!!!!!","Я хоть и человек простой, с Донбасса, но вижу, что у власти люди нечестные"
38,"война в абхазии,грузии,приднестровье,украине! и вы,бляди,ещё спрашиваете?","Война в Абхазии, Грузии, Приднестровье, Украине! И вы ещё спрашиваете?"
39,"война в абхазии,грузии,приднестровье,украине! и вы,бляди,ещё спрашиваете?","Война в абхазии , Грузии, Приднестровье, Украине ! А вы ещё спрашиваете ?"
40,Ну чё там? Его поймали? Арестовали? И чё с тем чуркой которому он с вертухи в ебасосину прописал?,Ну чем там ? Его поймали ? Арестовали ? И что с тем гражданином которого он ногой в лицо ударил ?
41,"ну ,блядь,лидер?охуеть!!!!съебалась к прибалтам!!!чует кошка,чьё мясо съела!!!","Лидер? Чушь! Ушла к прибалтам! Чует кошка, чьё мясо съела"
42,хуёвая вы группа! пытаетесь раскрутиться на инвалидах! фу!,Вы пытаетесь стать популярнее за счет инвалидов. Мне это не нравится.
43,"а ты,тварь,себя уже в сверхчеловеки зачислила?не на народные деньги харю отъела?кто тебя выбирал?или как веника врио дегтярева назначил царь?",А вы себя уже в сверхлюди записали? Не на народные деньги ли вы живёте? Кто вас выбирал? Или как врио Дягтерева назначили?
44,"О, я топовая чтоли? Фигасе...","О, я топовая что ли ? неужели ли.."
45,"пидарасы только и могут музыкантов алкашей и шлюх задерживать, а каснись что серьёзное сваё очко подставят 👎👎👎","Полиция только и может , музыкантов , пьющих и женщин легкого поведения задерживать , а коснись что по серьезней , они сидят в своих кабинетах!"
46,вас бы приручить за ваши слова. но вас оправдают.только ебанутый смотрят программы по тв и считают что это все правда,вас бы приручить за ваши слова. но вас оправдают. есть сомнения по поводу грамотности смотрящих программы по тв и считающих что это все правда
47,Проститутки и стриптезерши с терминалами приезжали.,Девушки низкой социальной ответственностью и танцовщицы с терминалами приезжали.
48,"это,например,какому дэбилоиду хотца порядки наводить???!!!!!по сценарию=1937 года???!!!!","Это, например, какому человеку хочется порядки наводить? По сценарию 1937 года?"
49,"попытка вы*бнуться? не вы одни не пьете. ждете, что вас тут начнут хвалить🤦‍♂️","Почему вы хвастаетесь? не вы одни не употребляете алкоголь, не ждите что вас тут станут хвалить"
50,"Подставил ты Васю,автор. Подло причем.","Не правильно ты сделал Автор  , предал Васю , не правильно причём"
51,"украина-образец долбоебизма! мастера из вашингтона постарались ,все им удалось! следующая беларуссия!","Украина - не лучший образец для подражания! Из Вашингтона хорошо постарались, все им удалось 
Следующая - Беларусь!"
52,"он что долбоеб такие штрафы,простой люд таких денег в глаза не видел,идиот,зарплата 10 тысяч","Он что с ума сошёл, такие штрафы? Простые люди таких денег в глаза не видели, зарплата 10.000"
53,"Да,помнится был в Лэнгли майор Хромченко,тот так и говорил,мол чем дебильнее тем лучше. упс...","Да, помнится был в Лэнгли майор Хромченко, тот так и говорил, мол чем хуже, тем лучше. Упс"
54,ты даже не представляеш урод что будет.,"ты даже не представляешь, человек с альтернативной внешностью, что будет"
55,Теперь геев на фурах рекламируют,Теперь людей с нетрадиционной сексуальной ориентацией на фурах рекламируют
56,"Искренне желаю,чтоб нашлись хозяева.Вас понимаю,не легко вам.Пусть все решится добром!!!","Искренне желаю, чтоб нашлись хозяева. Вас понимаю, не легко вам. Пусть все решится добром!!!"
57,народ вы посмотрите что власть скотская делает. опять помощь всем только не своим. твари...,"Посмотрите , что делает власть . Вновь оказывают помощь , но только не жителям своей же страны."
58,"придурки,не трогайте котика!что вы его дергаете?а если вас так?","Люди, не трогайте котика! Что вы его дёргает? А если вас так?"
59,таким вандалам надо рученки отрубать,К таким вандалам надо более жесткие меры принимать
60,"на рынке-мужчина ,у вас есть арбуз девочка? ээ,слюшай,какой дэвочка,это голандский сорт-одни пидарасы.","На рынке- мужчина, у вас есть арбуз девочка? Эх, слушай, какой девочка, это голландский сорт-одни нелюди"
61,"сволочи,одним словом,со своими законами,дали бы ему этих шоколадок,не обеднело бы государство","Жадные, одним словом, со своими законами, дали бы ему этих шрколадок, не обеднело бы государство"
62,"а теперь и отсосет...америке, ес...потом укре!:)","а теперь уступит во всем ...америке, ес... потом украине"
63,"Шария он знатно разъебал, у того аж пердак сгорел.","Шария он переспорил со знанием дела, тот даже и не смог ничего в ответ сказать."
64,хохлы ебанутые---а что они хотели в инфармационной войне------дивизии бурятов они видели----кантимировскую дивизию они видели---псковских десантников они видели---так и что*,"Украинский народ а что они хотели в информационной войне дивизии Бурятии они видели, кантимировскую дивизию они видели псковских десантников они видели, так и что?"
65,"сколько бы не было, пидор есть пидор! ещё этого пидора не обсуждали,что больше нечего делать??","Сколько бы не было, плохой человек, есть плохой человек! Еще это человека не обсуждали, что больше нечего делать??"
66,"долбоёб!)))меня и так устраивает.смотрю тут все сразу набежали.темы стали кидать и коменты. проснулись,видать люди.","Редиска !)) Меня и так устраивает. Смотрю тут все сразу набежали.темы стали кидать и коменты. проснулись,видать люди."
67,это не про нынешнее поколение. все лентяйки и засранки,Это не про нынешнее поколение. Все не хотят трудиться и следить за порядком
68,влюбляюсь второй раз за два дня.шлюха:(((((((,"влюбляюсь второй раз за два дня, девушка легкого поведения"
69,"Сняла,блять деньги.карту взяла,а деньги взять забыла,пиздец.осталась без денег((","Сняла деньги, карту взяла, а деньги взять забыла, капец. Осталась без денег"
70,"Так заебала это хуйня в жизни!!!!!!!!!!Когда у меня всё будет хорошо??????(((Извените, но у меня накипело!!!!!!!","Так надоела эта ерунда в жизни! Когда у меня все будет хорошо? (извините, но у меня накипело! )"
71,"Сегодня шла по улице, ебнулась, задницу отбилаю. Обидно:(","Сегодня шла по улице и упала, отбила себе пятую точку. Очень обидно"
72,"- Вик,подстричь челку?-Ты че ебанутая?Ну,если будешь стричь,позови Дилю и Саню","Вик,подстричь челку?-ты что? Не стоит этого делать. Ну,если будешь стричь,позови Дилю и Саню"
73,"КАНЕШНА!!В классе никто нихуя не выучил,а спрашивают меня...я победитель :(","Конечно! В классе никто ничего не выучил, а спрашивают меня... я победитель :("
74,"пятница 13-началась очень хуево..ска ,бесит все,не выспалась,это не  мой день,нервная это пзц((","Пятница тринадцатого началась очень плохо. Бесит всё, не выспалась. Это не мой день, нервная очень."
75,"пятница 13-началась очень хуево..ска ,бесит все,не выспалась,это не  мой день,нервная это пзц((","Пятница 13 началось очень плохо   всё достало ,не выспалась ,это не мой день ,нервная очень"
76,"бля,хз как въебать психологию,чтобы успеть на горку,блин(","Блин, не знаю как выучить психологию , чтобы успеть на горку, блин("
77,ну как так...кривожопый(,"Видимо данное действие не твоё, ничего не получилось"
78,"я лох,лох,самый победитель по жизни!Стрыкало выступает в Киеве 22 декабря,но бля билетов уже нет((почему?почему??я оочень хочу на концерт(","Я победитель по жизни. Стрыкало выступает в Киеве 22 декабря, но билетов уже нет. Почему ? Я очень хочу на концерт"
79,лалта вапщехуйня какая-тоничего не посомтреть(((99,"лалта вообще ерунда какая-то, ничего не посмотреть ((("
80,"типичная физра:Оля бьёт Сашу. Саша бьёт Олю. Оля орёт: ""ты чё, дибил что ли?!""я в это время кричу ДРАКААААА!!!!!!1на этом и расходятся :(","типичная физра : Оля бьет Сашу.Саша бьет Олю. Оля орет: «ты что , совсем что ли ?! я в это время кричу ДРАКААА !!! на этом и расходятся :("
81,"ОДИН НЕ РАЗБЕРЁТ,ЧЕМ ПАХНУТ РОЗЫ. ДРУГОЙ ИЗ ГОРЬКИХ ТРАВ ДОБУДЕТ МЁД. ДАЙ ХЛЕБА ОДНОМУ-НА ВЕК ЗАПОМНИТ. ДРУГОМУ ЖИЗНЬ ПОЖЕРТВУЙ- НЕ ПОЙМЁТ (","Один не понимает, чем пахнут розы. Другой умеет из горьких трав добыть мёд. Другому если дать хлеб, то он не забудет тебя. Ещё другому жизнь пожертвуешь-не поймёт."
82,"Блять ну зачем:((( ненавижу это состояние, чтоб его",Ну зачем все это. Ненавижу это состояние. Лучше бы его не было.
83,"Ненавижу,когда в маршрутке пиздят без умолку,а у них воняет изо рта.фу=(","Не люблю , когда в маршрутке говорят без умолку, а у них неприятный запах изо рта."
84,Сука живот болит.походу на треню не поеду(,"Из за того, что у меня болит живот, я не попадаю на тренировку."
85,Сорвалась и сожрала шоколадку..безвольное чмо(,"У меня совсем нет силы води, сорвалась и съела шоколадку."
86,"вот каждый день узнаю,кто в классе на кого в тихую пиздитвы че такие крысы то?:(","Вот каждый день узнаю, кто в классе на кого в тихую говорит , что вы такие нехорошие то ?"
87,"вот пидор, а((","Вот не хороший человек, а (("
88,#ERROR!,Лучше не будем ругаться друг на друга. А ты расскажешь как ты?
89,Я расстройстве... Антона Беляева Пелагея слила... дура... :((,Я в расстройстве... Антона Беляева слила Пелагея... Не могу её понять :((
90,"- Туяра,покрась мне волосы.- Не могу,у меня нестабильное эмоциональное состояние :(- Ц,заебала","- Туяра,покрась мне волосы.- Не могу,у меня нестабильное эмоциональное состояние :( - Мне это надоело"
91,"ДА Я ХЗ,Я ВСЕГДА ДУМАЛА,ЧТО ЭТО ЖЕНЯ .__________________________. БЛЯ ТАК СТЫДНО(((((","Да я не знаю , всегда думала , что это женя . Мне стыдно"
92,"суки.они просто дразнят меня.завезли в Барни iphone 5s цвета шампанского,который я так хочу,так хочу.но копить деньги совершенно не умею ;(","Они просто дразнят меня. Завезли в Барни iphone 5s цвета шампанского, который я так хочу, так хочу. Но копить деньги совершенно не умею("
93,Как же хочу быть мальчиком.утром встал.умылся и ты готов...а эта блядь косметика достала уже((,"Как же хочу быть мальчиком. Утром встал, умылся и ты готов... А эта косметика достала уже (("
94,"учёба ебаная,когда это все закончится....когда,а еще экзамены,препода валяят:((((зачем???....жизнь боль","Черт, учеба, когда это все закончится... А еще экзамены, преподы валят... Зачем? Жизнь - боль."
95,"Нет ничего хуже,чем быть журналистом в Питере. Вокруг скопище пиздец каких талантливах,широкомыслящих и креативных коллег.И среди них ты.(","Нет ничего хуже, чем быть журналистом в Питере. Вокруг скопище ужас каких талантливых, широкомыслящих и креативных коллег. И среди них ты. ("
96,Димон учиться и учиться.и не сдаст ведь ничего.(лох(мог бы сразу хуй положить.ва,"Димон учится и учится и не сдаст ведь ничего, а мог бы сразу все бросить"
97,Я ВСЕ РАВНО НЕ ЗНАЮ ТЕБЯ(99(((А ЧТО СТЕСНЯТЬСЯ?Я НЕ КУСАЧИЙ...какая двусмысленная фраза...,Я все равно не знаю тебя. А чего стесняться? Я не кусаюсь. Какая двусмысленная фраза.
98,"ПЛАНШЕТИК ПОЕХАЛА ВЧЕРА ДЕЛАТЬСКАЗАЛИ ШТА НАД ЕХАТЬ НА КУЗНЕЦКИЙ 80,ИБО ТАМ РЕМОНТ ХАЛЯВНЫЙПОЕДУ,ШТА ПОДЕЛАТЬЯ СОСКУЧИЛАСЬ ПО НЕМУ ;(","Планшетник поехала вчера делать. Сказали, что надо ехать на Кузнецкий 80, ибо там ремонт очень дешевый. Поеду, что поделать, я соскучилась по нему"
99,"АВАРИЯ:(((МЫ ПРОЕЗЖАЛИА ТАМ ЛЮДИ ЛЕЖАТ НА СНЕГУМЁРТВЫЕА ОТ МАШИНЫ ВАЩЕ НИФИГА ПРАКТИЧЕСКИ НЕ ОСТАЛАСЬ:,((","Авария:( Мы проезжали там, люди лежат на снегу мёртвые, а от машины вообще ничего практически не осталось:,("
100,АНАЛОГИЧНО=(ТОЛЬКО КУПИЛА НЕ ДАВНО...НЕТ ЧТО БЫ ПОФОТКАТЬ СИБЯ ТАМ ТАК КНИЖКИ...У ВАС..ВФОТОСЕССИЯ ЕПТ,"Аналогично ( только купила недавно, нет что пофоткать себя там так книжки.. у вас... В фотосессии"
101,"мы же 2 года тусим и ты не разу даже не смотрел на них,ни то что трахал,не ври..(((","Мы встречаемся два года и ты ни разу не смотрел на них, ни то что у вас не было интимный отношений, не обманывай"
102,И что я блять без тебя делать буду?!?! В аудитории сидеть? Да?ПиздосЯ даже с О.А. Закусилась! Мне плохо без тебя!!(,"И что я без тебя буду делать ?? В аудитории сидеть ? Да? Я даже с О.А. поссорилась , мне плохо без тебя ("
103,"хоть я много на тебя пиздела,я все-равно люблю тебя,возвращайся,дружище :(","Хтть я много врал о тебе, я всё равно люблю тебя, возвращайся, дружище"
104,"сама небось там сидит и думает""бля,твою мать,откуда он узнал,ебать""","сама небось там сидит и думает""надо же, вот это да, откуда он узнал,эх"""
105,"Меня так не любят:(можно подумать,меня это ебёт","Меня так не любят :( можно подумать, меня это волнует"
106,"Меня так не любят:(можно подумать,меня это ебёт",Меня так не любят. Можно подумать меня это так волнует
107,"вот блять!сегодня же тоже придется убираться в комнате.и тут фраза ""МАМА НЕ ТРОГАЙ ЭТО!ЗДЕСЬ ВСЕ ПО ФЭНШУЮ"" уже не прокатит:::(","Вот незадача! Сегодня же тоже придется убираться в комнате. И тут фраза"" МАМА НЕ ТРОГАЙ ЭТО! ЗДЕСЬ ВСЁ ПО ФЭНШУЮ"" уже не поможет"
108,"Хотела спрыгнуть с крыши,стояла на краю..Подруга остановила,сказав что он сейчас ебёт другую.Думаешь прыгну?А ВОТ Х*Й ТЕБЕ!!!=(","Хотела спрыгнуть с крыши, стояла на краю. Подруга остановила, сказав, что он сейчас с другой. Думаешь прыгну? Нет конечно!"
109,"Хотела спрыгнуть с крыши,стояла на краю..Подруга остановила,сказав что он сейчас ебёт другую.Думаешь прыгну?А ВОТ Х*Й ТЕБЕ!!!=(","Хотела спрыгнуть с крыши,стояла на краю. Подруга остановила,сказав что он сейчас с другой. Думаешь прыгну? А вот и нет!!!"
110,суки!мрази!что творят!((“ Взрыв на вокзале произвела смертница - сообщает НАК    ”,"Ужас ! Что творят! (( "" Взрыв на вокзале произвела смертница - сообщает НАК """
111,"все так придется вставать раньше,ибо на голове,хуй пойми,что высохло:(","Вот так придется вставать раньше, ибо на голове не понятно что высохло :("
112,"бляданунах(((попиздите тут(((вас наебали,я жив","Не может быть, вас обманули, я жив"
113,"Cпеши любить Марли и я  Хатико белый плен наркозP.S Я люблю тебяХорошие дети не плачутхуй знает,я не помню норм(","Спеши любить, Марли и Я, Хатико,Белый плен, Наркоз P.S. Я  люблю тебя, Хорошие дети не плачут, не знаю, я не помню нормально("
114,"Херово когда всем похуй на тебя((((((тупо всем,состояние режит душу","Плохо, когда всем без разницы на тебя. Абсолютно всем, состояние режет душу"
115,Я конченная неудачница. Плакать и смеяться охото(,Фортуна не на моей стороне мне хочется плакать и смеяться
116,Разачарован в Эхе и хитрожопым ВеникеЗабздели  разрешить комментарии к блогу о разводе Путина((А они там самые остроумные,Разочарован в Эхе и хитром Венике. Испугались разрешить комментарии к блогу о разводе Путина (( А они там самые остроумные.
117,"Правда,говорю..и так,сука,стыдно за страну...ужасное чувство.стеснятся своей Родины,которая не виновата в существовании госдуры подлецов:(((",Правда говорю так стыдно за страну ужасное чувство стесняться свой родины которая не виновата в существовании подлецов
118,когда я избавлюсь от привычки грызть ногти.я уже заебалась. до крови блять их грызу!!!!!!!(((((99,"Когда же я избавлюсь от привычки грызть ногти! Никак не отвыкну и опять сильно изгрызла, даже до крови."
119,напилсяна мастерскихпиздецпродолжил по пути домойнаблявал в банкепьяныйсижудомазаебись сходил в хабзу(,"Очень сильно напился в мастерских, продолжил по пути домой, стало плохо в банке, пьяный сижу дома, хорошо сходил в хабзу("
120,напилсяна мастерскихпиздецпродолжил по пути домойнаблявал в банкепьяныйсижудомазаебись сходил в хабзу(,"Злоупотребил алкоголем на мастерских, продолжил по пути домой, стошнило в банке.
Сижу дома в состояние алкогольного опъянения.
Великолепно сходил в хабзу"
121,ЗАВТРА НГУ МЕНЯ НЕТ НИ СЦЕНАРИЯНИ МУЗЫКИ НИ ДЕНЕГ НА ОФОРМЛЕНИЕ ХАЗВАЗХЗАХХАЧТО Я БУДУ ДЕЛАТЬ?МЕНЯ УЕБУТ(9(99(((((99(,"Завтра Новый год, а у меня нет ни сценария, ни музыки, ни денег на оформление. Что я буду делать? Меня накажут..."
122,да что б тебя физра тупая!!!!!!!!е......пистолетик!!!!пошевелиться не могу((((((,"Да что же за физра такая безголовая! Пистолет упражнение , пошевелиться не могу"
123,Перестаньте относится ко мне как к рэперу Напиши про меня песнюКогда к намКогда новаяЯ блять тоже человекВыбешивет это:(,"Перестаньте относиться ко мне как к рэперу. Напишите про меня песню. 
Когда к нам? 
Когда новая? 
Я тоже человек, злит это."
124,"Мазафака,ебаное горло,заебало болеть.Это невыносимоо(((",Как надоело это горло болеть. Это невыносимо (((
125,"Чикуля лайкнула видосА профиль у неё закрытНу что, блин, это за пиздосДальше рифму не придумал.(","Чикуля лайкнула видос. А профиль у неё закрыт. Ну что, блин, это за попадос. Дальше рифму не придумал.("
126,"Теперь я выгляжу,как чмо и еду в уни. Доклады то я сделала кое–как. Но,блять,моя группа ебанутая. &gt;:(","Теперь я выгляжу, как чмо и еду в уни. Доклады то я сделала кое-как. Но, блин, моя группа ужасная. :("
127,"Вот школа ебанатов,то форму спиздят,то шапку сегодня,заебали(","Вот школа воров. То форму украдут, то сегодня шапку украли"
128,"убила бы того,кто придумал фразу""Что не делается-все к лучшему!"" ДА РЕДКО ОНО К ЛУЧШЕМУ!!!!(((((","Ну кто придумал фразу"" Что не делается - все к лучшему!"" Очень редкое оно к лучшему! ((("
129,ПОСЛЕДНИЙ НОВЫЙ ГОД В ШКОЛЕ ВЫДАЛСЯ НА СЛАВУ  СПАСИБО ВСЕМ УЧАСТНИКАМ!! Я БУДУ СКУЧАТЬ ПО ВАМ:((,"Последний Новый год в школе выдался на славу , спасибо всем ученикам ! Я буду скучать по вам ."
130,"Пиздеец,я Сашу только через неделю увижу,аааааа,я ж с ума сойду((","Ну как так, я Сашу только через неделю увижу, аааааа,я ж с ума сойду(("
131,"Мда,вот это НГ(полная жопа..Главное любимого поздравила***","Да уж, вот это Новый год, полный атас, главное любимого поздравила"
132,"Честно говоря,задрали эти сучки смертницы!Сколько можно подрывать неповинных людей!Отвратительная война с непонятными целями!Как страшно!!(","Честно говоря, я не понимаю сколько можно подрывать неповинны людей. Отвратительная война с непонятными целями. Как страшно"
133,"обновление тви для андроида:ОО, ДИЗАЙН КРУТЕНЬКИЙГДЕ БЛЯТЬ ОТКЛИКИ?О, КНОПОЧКИ ПОМЕНЯЛИСЬГДЕ ОТКЛИКИ?!?!?!?!ЗАЧЕМ ЭТА КНОПКА?ОТКЛИКИ(","Обновление тви для Андроида:Он, дизайн крутенький.где отклики? О, кнопочки поменялись. Где отклики!?!?!? Зачем эта кнопка? Отклики ("
134,все меня предали......Юля заебала....Оля с Юлей......Ярик к Стеше ушел......Стеша с Яриком....( :ссс,Все меня предали. Юля надоела уже. Оля с Юлей. Ярик к Стеше ушёл. Стеша с Яриком.
135,Пиздец нахуй меня в 5утра будить..Катя со своими тусами уже достала!!! Кто-нибудь заберите меня на 2 к себе :(,"Зачем меня в 5 утра будить? .. Катя со своими тусовками уже достала!!! Кто-нибудь, заберите меня на 2 дня к себе :("
136,"Бля,сосед увидел,через окно,как я пою Представляю как ему теперь смешно,ведь я такие рожи делала,типа крутая ,сука(","Ой, сосед увидел, через окно, как я пою. Представляю как ему теперь смешно, ведь я такое лицо делала, будто очень крутая."
137,"мне скучно.я хочу выёбываться,но не перед кем((((((","Мне скучно , я хочу выпендриться перед кем нибудь , но не перед кем"
138,даже мухи ебуться...а я нет((,"Даже у мух есть секс, а у меня нет"
139,на 3 дняБляяяЯ там помру нахуй:(,На 3 дня! Я там с ума сойду :(
140,"Что ж за пиздец творится в моей жизни,ну хватит уже..Ну когда это закончится(((","Ну что же за беда твориться в моей жизни, ну хватит уже. Ну когда это закончится"
141,"Я РАД, ШТА ТЫ МЕНЯ ПОНИМАЕШЬ! МОЙ ТЕЛЕФОН БЫЛ ЧАСТЬЮ МОЕЙ ЖИЗНИ, А ТИПЕРЬ ЕГО НИТ(((","Я рад, что ты меня понимаешь , мой телефон был частью моей жизни , а теперь его нет ."
142,"Ну блять как???Я так ебнулась на катке,что аж порвала штаны и пошла кровь,все штаны испачкала(((","Ну как???? Я так упала на катке, что аж порывала штаны и пошла кровь, все штаны испачкала ((("
143,"КТО ПРИДУМАЛ ЧАСЫ,КОТОРЫЕ БЬЮТ СТОЛЬКО РАЗ,СКОЛЬКО СЕЙЧАС ЧАСОВ?Я ССУСЬ,КОГДА СЛЫШУ ИХ!мне придется провести ночь наедине с ними:(прощай сон","Кто придумал часы, которые бьют столько раз, сколько сейчас часов? Я пугаюсь, когда слышу их! Мне придется провести ночь наедине с ними, прощай сон"
144,"Это ты так думаешь,он так не думаеть(((Я плачу, мне плохо. Есть ещё суки которые советують меня игнорить и добавить в чс((","Это ты так думаешь, а он так не думает. Я плачу, мне плохо. Есть ещё люди, которые советуют меня игнорировать и добавить в чс"
145,"потому что ты мудакМб я пошлый, но не настолько же :(И даЯ не секс машинаВопрос исчерпанЯ в обиде","Потому что ты не очень хороший человек. Может быть я пошлый, но не настолько же:( и да, я не секс машина. Вопрос исчерпан. Я в обиде."
146,Слышь поч меня труханы найла не зафолловили? :(,Вы не в курсе почему меня не добавили в друзья эти граждане? :(
147,Я ВДОХНОВИЛАСЬ СВОЕЙ ПОМОЛВКОЙ..И ВОТ ЧТО НАСКРЯБАЛА...КАЧЕСТВО НЕ АЙС((НУ КАК?,"Я вдохновилась своей помолвкой. И вот, что нашла. Качество не очень. Ну как?"
148,"БОЖЕ КАК ЖАЛЬ:((ЦАРСТВО ТЕБЕ НЕБЕСНОЕ,БАБУШКА ЛУИ","Боже, как жаль. Царство тебе небесное , Бабушка Луи."
149,"ваауу..Я ТОЛЬКО ВЧЕРА В ИНТЕРНЕТЕ СМОТРЕЛА ЭТУ РЕКЛАМУ,ИБО У НАС НЕТ РУССКИХ КАНАЛОВ,ГДЕ ПОКАЗУЮТ РОМУ((","Ваауу..я только вчера в интернете смотрела эту рекламу, ибо у нас нет русских каналов, где показывают Рому (("
150,"Ебать, я ж умру без общения со своими чуваками,без бесед,людишек..ааа:(","Кошмар, как же тяжело будет без общения со своими друзьями,  без бесед, людей, ааа;("
151,"ну,если на тебя напала какая то ебнутая,это не значит,что все они дерьмо((((",Ну если на тебя напала какая то ненормально это не значит что все они плохие
